Knife, Sword, 0, 0, 50, 0, 3, Class.Beginner | Class.Knight | Class.Swordsman
Headgear, Helmet, 143, 0, 310, 20, 0, 0
Helmet, Helmet, 185, 0, 450, 27, 0, 0
Horn Helmet, Helmet, 206, 0, 525, , , 0
Crown, Helmet, 227, 0, 600, 33, 0, Class.Knight | Class.Wizard
Shine Helmet, Helmet, 274, 0, 660, , , Class.Wizard
Field Cap, Helmet, 322, 92, 720, 41, 0, Class.Knight | Class.Swordsman
Full Helmet, Helmet, 417, 120, 800, 49, 0, Class.Knight | Class.Swordsman
Grandeur Helmet, Helmet, 513, 146, 1000, 0, 0, Class.Knight
Buckler, Shield, 0, 0, 50, 5, 0, Class.Beginner | Class.Knight
Round Shield, Shield, 0, 0, 80, 8, 0, Class.Beginner | Class.Knight
Small Shield, Shield, 22, 0, 130, 11, 0, Class.Beginner | Class.Knight
Square Shield, Shield, 93, 0, 180, 0, 16, Class.Knight
Triangle Shield, Shield, 151, 45, 280, 26, 0, Class.Knight
Large Shield, Shield, 209, 0, 380, 38, 0, Class.Knight
Tower Shield, Shield, 267, 0, 480, 50, 0, Class.Knight
Coating Shield, Shield, 325, 92, 600, 59, 0, Class.Knight
Battle Shield, Shield, 384, 0, 700, 68, 0, Class.Knight
Arm Shield, Shield, 442, 125, 790, 84, 0, Class.Knight
Family Shield, Shield, 501, 0, 880, 94, 0, Class.Knight
Grand Shield, Shield, 560, 0, 1000, 0, 0, Class.Knight
Kite Shield, Shield, 560, 0, 1000, , , Class.Knight
Rag, Armor, 0, 0, 80, 8, 0, 0
Suit, Armor, 15, 0, 150, 13, 0, 0
Full Dress, Armor, 18, 0, 180, 19, 0, 0
Surplice, Armor, 22, 0, 220, 24, 0, 0
Cape, Armor, 93, 0, 250, 30, 0, 0
Mantle, Armor, 118, 0, 300, 39, 0, 0
Cloak, Armor, 143, 42, 360, 52, 0, 0
Cope, Armor, 169, 0, 400, 0, 57, 0
Quilted Armor, Armor, 194, 56, 480, 66, 0, 0
Robe, Armor, 220, 0, 520, 82, 0, 0
Leather Armor, Armor, 251, 0, 580, 83, 0, 0
Hard Leather, Armor, 282, 0, 660, 92, 0, 0
Enamel Leather, Armor, 313, 90, 720, 101, 0, 0
Tough Leather, Armor, 345, 0, 750, 117, 0, 0
Chest Guard, Armor, 373, 107, 770, 119, 0, 0
Battle Armor, Armor, 401, 0, 880, 128, 0, 0
Bone Mail, Armor, 429, 0, 950, 150, 0, 0
Ring Mail, Armor, 457, 0, 990, 146, 0, 0
Chain Mail, Armor, 485, 0, 1050, 155, 0, 0
Scale Mail, Armor, 513, 146, 1100, 165, 0, 0
Breast Plate, Armor, 553, 0, 1150, 177, 0, 0
Mail Plate, Armor, 593, 0, 1200, 0, 0, 0
Samurai Plate, Armor, 633, 0, 1350, 0, 0, 0
Wide Plate, Armor, 673, 190, 1400, 0, 0, 0
Full Plate, Armor, 714, 0, 1500, 0, 0, 0
Ring, Ring, 0, 0, 1000, , , 0
Amulet, Amulet, 0, 0, 1000, , , 0
